title,author,current_price,original_price,discount_percent,rating,review_count,format,isbn,availability,bestseller_rank,category,product_url,image_url,scraped_at
Threshing Day (Wing and Claw Collection),Rebecca Yarros,24.99,,,4.5,15,Hardcover,9781682818084,Pre-Order,,Science Fiction & Fantasy | Romance | Fantasy Fiction | Paranormal Romance | Other Fantasy Fiction Categories | Epic Fantasy | Fantasy Romance | Fantasy Collections & Anthologies | Fantasy - Women of Lore,https://www.barnesandnoble.com/w/threshing-day-rebecca-yarros/1150799611?ean=9781682818084,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781682818084_p0.jpg?v=1784130778,2026-08-12T19:34:23+00:00
Theo of Golden: A Novel,Allen Levi,20.0,,,4.6,139,Paperback,9781668236512,Out of Stock,,Fiction | Literature | Fiction Subjects | Literary Fiction | Settings & Atmosphere - Fiction | Small Towns - Fiction,https://www.barnesandnoble.com/w/theo-of-golden-allen-levi/1143923011?ean=9781668236512,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781668236512_p0.jpg?v=1776257763,2026-08-12T19:34:23+00:00
Project Hail Mary,Andy Weir,22.0,,,4.7,158,Paperback,9780593135228,Out of Stock,,Science Fiction & Fantasy | High Tech and Hard Science Fiction | Space Exploration - Fiction | Social Science Fiction | Alternate Realities - Fiction | Science Fiction - Science of Space Travel | Science Fiction - Alien Contact | Science Fiction - Future History,https://www.barnesandnoble.com/w/project-hail-mary-andy-weir/1137456421?ean=9780593135228,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780593135228_p0.jpg?v=1782873439,2026-08-12T19:34:23+00:00
A Court of Thorns and Roses 6,Sarah J. Maas,32.0,,,4.5,8,Hardcover,9781639739134,Pre-Order,,Science Fiction & Fantasy | Romance | Fantasy Fiction | Paranormal Romance | Epic Fantasy | Fantasy Romance,https://www.barnesandnoble.com/w/a-court-of-thorns-and-roses-6-sarah-j-maas/1149621379?ean=9781639739134,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781639739134_p0.jpg?v=1773083511,2026-08-12T19:34:23+00:00
The Odyssey: Translated by Emily Wilson,Homer,18.95,,,4.3,11,Paperback,9780393356250,Out of Stock,,Literature | Social Sciences | Poetry | Folklore & Mythology | Ancient & Classical Poetry | General & Miscellaneous Poetry | Greco-Roman Folklore & Mythology | Ancient Greek Poetry | Epic Poetry | New York Times Notable Fiction of 2018 | New York Times Notable Poetry of 2018 | Best Books of the Year | Best Books of the Year 2018 | New York Times Best Books of 2018,https://www.barnesandnoble.com/w/the-odyssey-homer/1129773507?ean=9780393356250,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780393356250_p0.jpg?v=1764986319,2026-08-12T19:34:23+00:00
A Court of Thorns and Roses 7,Sarah J. Maas,38.0,,,5.0,2,Hardcover,9798260200568,Pre-Order,,Science Fiction & Fantasy | Romance | Fantasy Fiction | Paranormal Romance | Epic Fantasy | Fantasy Romance,https://www.barnesandnoble.com/w/a-court-of-thorns-and-roses-7-sarah-j-maas/1149621378?ean=9798260200568,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9798260200568_p0.jpg?v=1773083508,2026-08-12T19:34:23+00:00
Regime Change: Inside the Imperial Presidency of Donald Trump,Maggie Haberman,34.0,,,4.3,42,Hardcover,9781668067246,Out of Stock,,"Current Affairs & Politics | Politics & Government - General & Miscellaneous | United States Politics & Government | U.S. Politics in the Post Cold-War Era | U.S. Politics - General & Miscellaneous | Executive Branch | Federalism | U.S. Politics & Government - 2017- | U.S. Politics & Government - General & Miscellaneous | U.S. Politics & Government - 21st Century - General & Miscellaneous | The Executive Branch - General & Miscellaneous | Trump, Donald (1946-)->Political and social views",https://www.barnesandnoble.com/w/regime-change-maggie-haberman/1149840903?ean=9781668067246,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781668067246_p0.jpg?v=1784298426,2026-08-12T19:34:23+00:00
Yesteryear (GMA Book Club Pick),Caro Claire Burke,25.0,30.0,16.67,3.9,343,Hardcover,9780593804216,Out of Stock,,"Fiction | Mystery & Thrillers | Awards | Fiction Subjects | Humorous Fiction | Politics & Social Issues - Fiction | Thrillers | Satire | Sexism, Feminism & Gender Equality - Fiction | Psychological Suspense | Book Club Selections | Good Morning America Book Club | 2026 Good Morning America Book Club Picks | Barnes & Noble Discover Prize | 2026 Barnes & Noble Discover Prize | 2026 Barnes & Noble Discover Prize Finalists",https://www.barnesandnoble.com/w/yesteryear-caro-claire-burke/1147793810?ean=9780593804216,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780593804216_p0.jpg?v=1775530100,2026-08-12T19:34:23+00:00
Dungeon Crawler Carl (Dungeon Crawler Carl Series #1),Matt Dinniman,20.0,,,4.8,90,Paperback,9780593820254,Out of Stock,,"Science Fiction & Fantasy | Fantasy Fiction | Other Science Fiction Categories | Role-Playing Game Fiction | Adventure fantasy->Other | Action & Adventure Science Fiction | LitRPG Fiction | Barnes & Noble Monthly Picks | 2026 Barnes & Noble Monthly Picks | January 2026 Barnes & Noble Monthly Picks | Science Fiction, Fantasy, & Horror Book Awards | Arthur C. Clarke Award | 2026 Arthur C. Clarke Award | 2026 Arthur C. Clarke Award Shortlist",https://www.barnesandnoble.com/w/dungeon-crawler-carl-matt-dinniman/1145437169?ean=9780593820254,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780593820254_p0.jpg?v=1768501114,2026-08-12T19:34:23+00:00
The Calamity Club: A Novel,Kathryn Stockett,30.0,35.0,14.29,4.7,219,Hardcover,9781954118812,Out of Stock,,"Fiction | Fiction Subjects | Historical Fiction | Women's Fiction | Business, Work, & Money - Fiction | 20th Century Historical Fiction - General & Miscellaneous | Women - Sense of Place | Depressions & Recessions - Fiction",https://www.barnesandnoble.com/w/the-calamity-club-kathryn-stockett/1147098401?ean=9781954118812,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781954118812_p0.jpg?v=1779235212,2026-08-12T19:34:23+00:00
